,join_col,G18USSRCRU_x,G18USSDORO_x,G18USSLDIK_x
33,0050008,674.0,81.0,3.0
35,0050010,253.0,226.0,1.0
53,0050028,533.0,134.0,6.0
138,0170004,114.0,95.0,2.0
268,0291030,8.0,9.0,0.0
302,0291064,232.0,274.0,5.0
413,0292039,117.0,585.0,7.0
617,0293086,620.0,563.0,8.0
637,0293106,685.0,406.0,8.0
656,0293125,1166.0,856.0,16.0
722,0293199,1043.0,799.0,11.0
726,0293206,5.0,56.0,1.0
735,0294007,173.0,197.0,6.0
934,0330004,95.0,4.0,0.0
937,033002A,65.0,4.0,0.0
948,0350008,1073.0,293.0,10.0
1143,0470005,24.0,20.0,0.0
1144,0470006,70.0,290.0,3.0
1145,0470007,31.0,42.0,0.0
1146,0470008,84.0,205.0,0.0
1147,0470009,64.0,145.0,0.0
1485,0850013,1714.0,574.0,25.0
1724,0910202,469.0,201.0,4.0
1742,0910406,2194.0,942.0,21.0
1901,1131065,194.0,980.0,3.0
1906,1131071,460.0,1350.0,16.0
1920,1131087,172.0,1406.0,10.0
1978,1131308,317.0,545.0,6.0
2170,1132717,2.0,0.0,0.0
2177,1132807,756.0,784.0,17.0
2180,1132810,12.0,3.0,0.0
2218,1133016,133.0,746.0,5.0
2391,1133940,273.0,663.0,9.0
2396,1134003,12.0,113.0,1.0
2399,1134006,242.0,547.0,8.0
2402,1134009,73.0,647.0,5.0
2477,1134091,0.0,0.0,0.0
2483,1134097,134.0,420.0,3.0
2551,1134608,548.0,1116.0,15.0
2570,1134627,913.0,1550.0,24.0
2591,1134650,0.0,0.0,0.0
2693,1212015,1070.0,1158.0,19.0
2770,1214023,1449.0,661.0,14.0
2809,1250003,166.0,25.0,1.0
2810,1250004,78.0,31.0,1.0
3024,1410088,119.0,149.0,5.0
3209,153024B,34.0,43.0,1.0
3294,1572138,49.0,191.0,0.0
3295,1572139,4.0,28.0,0.0
3301,1573009,1426.0,711.0,9.0
3343,1574049,631.0,1447.0,18.0
3398,1630004,318.0,282.0,2.0
3438,1670225,1415.0,434.0,13.0
3461,1670316,316.0,779.0,10.0
3563,1810205,1759.0,418.0,6.0
3585,1810408,622.0,214.0,10.0
3623,1870102,410.0,181.0,5.0
3950,2010179,407.0,637.0,13.0
4671,2010922,0.0,0.0,0.0
4786,2090125,460.0,946.0,15.0
4794,2090228,1558.0,3106.0,48.0
4796,2090230,446.0,434.0,8.0
4797,2090232,789.0,522.0,15.0
4807,2090333,1577.0,1309.0,26.0
4809,2090335,1306.0,999.0,27.0
4812,2090339,527.0,277.0,6.0
4813,2090413,92.0,554.0,3.0
4815,2090415,205.0,1084.0,6.0
4820,2090420,281.0,267.0,7.0
4828,2090449,1513.0,1061.0,27.0
5152,2190045,545.0,190.0,5.0
5692,2830003,104.0,196.0,0.0
5801,2950207,176.0,17.0,3.0
5834,3030002,415.0,431.0,9.0
5838,3030006,33.0,487.0,3.0
5862,3030031,723.0,178.0,7.0
5883,3030057,822.0,444.0,10.0
5889,3030064,0.0,0.0,0.0
5893,3030069,4.0,2.0,0.0
5898,3030092,126.0,47.0,1.0
5906,3030113,555.0,563.0,9.0
5908,3030117,28.0,1.0,0.0
5921,3030131,0.0,0.0,0.0
5922,3030132,5.0,1.0,0.0
5928,3030143,6.0,3.0,0.0
5929,3030144,0.0,0.0,0.0
5930,3030145,0.0,0.0,0.0
5931,3030146,0.0,0.0,0.0
5932,3030147,0.0,1.0,0.0
5933,3030148,0.0,0.0,0.0
5934,3030149,1.0,0.0,0.0
5935,3030150,0.0,1.0,0.0
5941,3030157,0.0,0.0,0.0
5942,3030158,0.0,0.0,0.0
5944,3030160,1.0,0.0,0.0
5945,3030161,4.0,2.0,0.0
5946,3030162,0.0,0.0,0.0
5947,3030163,5.0,0.0,0.0
5948,3030164,2.0,0.0,0.0
5949,3030165,2.0,0.0,0.0
5950,3030166,0.0,0.0,0.0
5951,3030167,1.0,0.0,0.0
5952,3030168,2.0,0.0,0.0
5953,3030169,0.0,0.0,0.0
5954,3030170,0.0,0.0,0.0
5955,3030171,0.0,0.0,0.0
5956,3030172,1.0,1.0,0.0
5957,3030173,1.0,0.0,0.0
5958,3030174,11.0,1.0,0.0
5959,3030175,9.0,2.0,0.0
5960,3030176,0.0,0.0,0.0
5961,3030177,1.0,0.0,0.0
5963,3030180,0.0,0.0,0.0
5964,3030181,0.0,0.0,0.0
5965,3030182,2.0,5.0,0.0
5966,3050001,108.0,34.0,1.0
6041,3090053,75.0,90.0,2.0
6100,3170001,278.0,68.0,1.0
6102,3170003,315.0,40.0,5.0
6132,323002B,273.0,856.0,12.0
6162,3290101,330.0,43.0,2.0
6167,3290106,1065.0,428.0,16.0
6169,3290108,145.0,42.0,1.0
6170,3290109,160.0,130.0,5.0
6192,3290401,463.0,64.0,1.0
6204,329109A,0.0,0.0,0.0
6221,3330003,181.0,20.0,2.0
6426,3510008,140.0,51.0,1.0
6541,3550092,518.0,547.0,10.0
6815,3830003,204.0,34.0,2.0
6886,3970001,2228.0,1079.0,34.0
6890,397001A,1316.0,800.0,27.0
6906,3990004,139.0,23.0,2.0
6924,4010314,529.0,59.0,4.0
7018,4170406,138.0,21.0,1.0
7129,4292-19,136.0,10.0,0.0
7135,4310001,125.0,12.0,0.0
7136,4310002,81.0,14.0,0.0
7177,4391064,0.0,0.0,0.0
7233,4391227,582.0,1698.0,15.0
7247,4391277,426.0,461.0,7.0
7360,4392158,773.0,688.0,16.0
7391,4392274,2.0,0.0,0.0
7582,4393469,455.0,373.0,9.0
7636,4394044,1601.0,671.0,16.0
7705,4394245,4.0,52.0,0.0
7782,4394685,0.0,0.0,0.0
7828,4430002,66.0,61.0,1.0
7830,4430004,101.0,17.0,2.0
8189,4590019,4.0,1.0,0.0
8211,4650010,333.0,534.0,8.0
8225,4650041,243.0,413.0,9.0
8316,4730420,665.0,212.0,9.0
8415,4810101,756.0,459.0,6.0
8476,4850314,5.0,1.0,0.0
8496,4870001,504.0,105.0,7.0
8497,4870009,380.0,123.0,3.0
8502,4890002,203.0,452.0,5.0
8565,4910333,1145.0,1298.0,31.0
8634,4970007,667.0,214.0,9.0
